'beta_mu', 'algorithm', 'terminate', 'init_point', 'optimal_soultion', 'ans', 'violation'
(0.01, 1.5)	COBYLA	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0971, 0.0001, 0.3809, 0.0875, 0.2754, 0.0045, 0.0011, 0.1534)	0.1061	0
(0.01, 1.5)	COBYLA	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1097, -0.0005, 0.3347, 0.0301, 0.2756, 0.0281, -0.0034, 0.2092)	0.0908	6
(0.01, 1.5)	COBYLA	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0994, -0.0001, 0.375, 0.067, 0.2827, 0.0159, 0.0007, 0.1592)	0.1032	2
(0.01, 1.5)	COBYLA	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0935, 0.0003, 0.3843, 0.0749, 0.281, 0.0191, 0.0013, 0.1456)	0.1059	0
(0.01, 1.5)	COBYLA	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1788, -0.0063, 0.1339, -0.0346, 0.1847, 0.1215, -0.0474, 0.2898)	0.0459	7
(0.01, 1.5)	COBYLA	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1002, -0.0002, 0.3736, 0.0637, 0.2835, 0.0165, 0.0002, 0.1622)	0.1025	2
(0.01, 1.5)	COBYLA	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0954, -0.0, 0.3835, 0.0729, 0.2803, 0.0197, 0.0013, 0.1472)	0.1055	2
(0.1, 1.5)	BFGS	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1109, -0.0007, 0.3361, 0.0238, 0.3048, -0.0005, -0.0042, 0.2109)	0.0898	7
(0.1, 1.5)	BFGS	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1003, -0.0001, 0.3734, 0.0633, 0.3002, -0.0001, 0.0119, 0.1504)	0.1032	5
(0.1, 1.5)	BFGS	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0688, 0.3, -0.0, 0.015, 0.1392)	0.1048	1
(0.1, 1.5)	BFGS	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1162, -0.0009, 0.3231, 0.0167, 0.3068, -0.0005, -0.0068, 0.2173)	0.0861	7
(0.1, 1.5)	BFGS	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.3768, 0.0685, 0.3, -0.0, 0.0149, 0.1398)	0.1047	1
(0.1, 1.5)	BFGS	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0155, 0.1386)	0.1048	0
(0.1, 1.5)	BFGS	0.001	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1109, -0.0007, 0.3361, 0.0238, 0.3048, -0.0005, -0.0042, 0.2109)	0.0898	7
(0.1, 1.5)	BFGS	1e-05	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1003, -0.0001, 0.3734, 0.0633, 0.3002, -0.0001, 0.0119, 0.1504)	0.1032	5
(0.1, 1.5)	BFGS	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.377, 0.0688, 0.3, -0.0, 0.015, 0.1392)	0.1048	1
(0.1, 1.5)	BFGS	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1162, -0.0009, 0.3231, 0.0167, 0.3068, -0.0005, -0.0068, 0.2173)	0.0861	7
(0.1, 1.5)	BFGS	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.3768, 0.0685, 0.3, -0.0, 0.0149, 0.1398)	0.1047	1
(0.1, 1.5)	BFGS	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0155, 0.1386)	0.1048	0
(0.1, 1.5)	BFGS	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1109, -0.0007, 0.3361, 0.0238, 0.3048, -0.0005, -0.0042, 0.2109)	0.0898	7
(0.1, 1.5)	BFGS	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1003, -0.0001, 0.3734, 0.0633, 0.3002, -0.0001, 0.0119, 0.1504)	0.1032	5
(0.1, 1.5)	BFGS	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.377, 0.0688, 0.3, -0.0, 0.015, 0.1392)	0.1048	1
(0.1, 1.5)	BFGS	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1162, -0.0009, 0.3231, 0.0167, 0.3068, -0.0005, -0.0068, 0.2173)	0.0861	7
(0.1, 1.5)	BFGS	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.3768, 0.0685, 0.3, -0.0, 0.0149, 0.1398)	0.1047	1
(0.1, 1.5)	BFGS	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.377, 0.0689, 0.3, 0.0, 0.0155, 0.1386)	0.1048	0
(0.1, 1.5)	Powell	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1126, -0.0017, 0.3317, 0.0272, 0.2467, 0.0577, -0.0041, 0.2108)	0.0899	6
(0.1, 1.5)	Powell	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1003, 0.0, 0.3743, 0.0725, 0.271, 0.027, -0.0, 0.1543)	0.1038	2
(0.1, 1.5)	Powell	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.3861, 0.0737, 0.27, 0.0245, 0.0004, 0.1453)	0.1055	0
(0.1, 1.5)	Powell	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1135, 0.0018, 0.3214, 0.0183, 0.2446, 0.0616, -0.0064, 0.2167)	0.0862	5
(0.1, 1.5)	Powell	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, 0.0001, 0.3842, 0.0736, 0.2707, 0.0247, 0.0003, 0.1465)	0.1052	1
(0.1, 1.5)	Powell	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, 0.0, 0.3862, 0.0737, 0.27, 0.0245, 0.0004, 0.1453)	0.1055	0
(0.1, 1.5)	Powell	0.001	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1126, -0.0017, 0.3317, 0.0272, 0.2471, 0.0573, -0.0041, 0.2108)	0.0899	6
(0.1, 1.5)	Powell	1e-05	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1003, 0.0, 0.3743, 0.0725, 0.2713, 0.0267, -0.0, 0.1543)	0.1038	2
(0.1, 1.5)	Powell	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.3861, 0.0737, 0.2703, 0.0242, 0.0004, 0.1454)	0.1055	0
(0.1, 1.5)	Powell	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1135, 0.0018, 0.3214, 0.0183, 0.245, 0.0612, -0.0064, 0.2167)	0.0862	5
(0.1, 1.5)	Powell	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, 0.0001, 0.3842, 0.0736, 0.271, 0.0244, 0.0003, 0.1465)	0.1052	1
(0.1, 1.5)	Powell	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, 0.0, 0.3862, 0.0737, 0.2703, 0.0241, 0.0004, 0.1453)	0.1055	0
(0.1, 1.5)	Powell	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1126, -0.0017, 0.3317, 0.0272, 0.2467, 0.0577, -0.0041, 0.2108)	0.0899	6
(0.1, 1.5)	Powell	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1003, 0.0, 0.3743, 0.0725, 0.271, 0.0271, -0.0, 0.1543)	0.1038	2
(0.1, 1.5)	Powell	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.3861, 0.0737, 0.27, 0.0245, 0.0004, 0.1453)	0.1055	0
(0.1, 1.5)	Powell	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1135, 0.0018, 0.3214, 0.0183, 0.2446, 0.0616, -0.0064, 0.2167)	0.0862	5
(0.1, 1.5)	Powell	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, 0.0001, 0.3842, 0.0736, 0.2707, 0.0247, 0.0003, 0.1465)	0.1052	1
